ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
QUERÉTARO,15.2 ,16.5 ,18.4 ,21.0 ,21.8 ,21.8 ,20.0 ,21.2 ,20.3 ,20.0 ,15.6 ,15.2 ,18.9 
QUINTANA ROO,23.6 ,24.1 ,25.4 ,27.7 ,28.8 ,29.0 ,28.0 ,29.4 ,29.3 ,28.1 ,25.5 ,25.3 ,27.0 
SAN LUIS POTOSÍ,17.7 ,19.3 ,21.5 ,25.1 ,26.6 ,27.0 ,25.6 ,26.8 ,24.9 ,23.3 ,18.8 ,17.2 ,22.8 
SINALOA,20.6 ,21.0 ,22.7 ,24.0 ,27.9 ,30.0 ,28.9 ,30.1 ,30.1 ,26.7 ,24.2 ,19.5 ,25.5 
SONORA,15.5 ,16.2 ,18.7 ,20.8 ,26.6 ,28.4 ,29.6 ,30.6 ,28.5 ,22.2 ,19.0 ,13.7 ,22.5 
TABASCO,23.2 ,24.4 ,25.9 ,28.2 ,29.3 ,29.2 ,27.4 ,28.7 ,28.8 ,28.0 ,24.5 ,24.2 ,26.8 
TAMAULIPAS,18.3 ,20.7 ,21.6 ,25.9 ,28.1 ,29.6 ,29.3 ,30.5 ,27.5 ,25.4 ,20.6 ,15.6 ,24.4 
TLAXCALA,12.1 ,12.6 ,14.3 ,16.3 ,16.7 ,16.6 ,15.5 ,16.0 ,16.0 ,15.6 ,12.7 ,12.7 ,14.8 
VERACRUZ,19.3 ,20.6 ,22.0 ,24.9 ,25.8 ,26.0 ,24.2 ,25.0 ,25.2 ,24.4 ,20.6 ,19.8 ,23.1 
YUCATÁN,22.9 ,23.8 ,25.3 ,28.4 ,29.5 ,29.2 ,27.5 ,29.0 ,28.9 ,27.9 ,24.8 ,24.5 ,26.8 
ZACATECAS,13.3 ,14.5 ,16.5 ,18.4 ,20.6 ,21.6 ,19.8 ,20.5 ,19.0 ,17.8 ,13.5 ,12.1 ,17.3 
NACIONAL,16.5 ,18.1 ,20.1 ,22.4 ,25.1 ,26.1 ,25.4 ,26.3 ,24.7 ,22.4 ,18.5 ,16.1 ,21.8 
