ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
OAXACA,21.8 ,23.5 ,24.1 ,26.6 ,26.7 ,25.0 ,24.4 ,25.8 ,24.6 ,23.0 ,21.7 ,21.3 ,24.0 
PUEBLA,14.3 ,16.6 ,17.3 ,19.5 ,20.4 ,18.5 ,17.7 ,19.1 ,18.2 ,16.6 ,15.2 ,14.8 ,17.4 
QUERÉTARO,15.3 ,16.7 ,17.9 ,20.9 ,22.1 ,21.2 ,19.5 ,20.5 ,19.1 ,16.9 ,15.1 ,14.4 ,18.3 
QUINTANA ROO,24.2 ,26.1 ,26.0 ,27.2 ,29.1 ,28.2 ,28.1 ,29.7 ,29.1 ,26.5 ,24.0 ,23.8 ,26.8 
SAN LUIS POTOSÍ,17.2 ,19.7 ,21.4 ,24.8 ,27.1 ,25.4 ,23.7 ,25.4 ,23.0 ,21.2 ,18.9 ,17.3 ,22.1 
SINALOA,18.5 ,19.7 ,20.7 ,24.1 ,26.2 ,29.7 ,28.9 ,29.1 ,29.0 ,23.9 ,24.5 ,20.9 ,24.6 
SONORA,13.7 ,15.5 ,17.9 ,21.6 ,23.9 ,30.2 ,28.3 ,28.5 ,27.8 ,24.7 ,19.7 ,15.3 ,22.3 
TABASCO,24.1 ,25.7 ,24.8 ,27.7 ,29.3 ,27.0 ,27.1 ,28.5 ,27.4 ,25.7 ,23.9 ,23.1 ,26.2 
TAMAULIPAS,16.9 ,21.0 ,22.3 ,25.4 ,24.8 ,28.6 ,26.8 ,29.0 ,26.1 ,24.0 ,20.3 ,17.5 ,23.6 
TLAXCALA,11.4 ,14.3 ,14.6 ,16.9 ,17.4 ,15.8 ,14.7 ,17.1 ,15.6 ,13.9 ,12.2 ,11.6 ,14.6 
VERACRUZ,19.3 ,21.7 ,22.1 ,24.8 ,26.9 ,24.6 ,24.1 ,25.9 ,24.1 ,22.2 ,19.6 ,19.8 ,22.9 
YUCATÁN,23.5 ,25.3 ,25.6 ,27.0 ,29.7 ,27.7 ,27.2 ,29.0 ,28.5 ,25.9 ,22.7 ,22.9 ,26.3 
ZACATECAS,12.3 ,14.0 ,15.2 ,18.9 ,20.3 ,21.2 ,18.6 ,19.0 ,17.9 ,16.1 ,13.3 ,12.5 ,16.6 
NACIONAL,15.6 ,18.3 ,19.1 ,22.7 ,24.5 ,26.0 ,24.4 ,25.2 ,23.8 ,21.7 ,18.6 ,16.5 ,21.4 
