ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
HIDALGO,13.4 ,16.7 ,18.5 ,19.5 ,20.4 ,20.7 ,21.0 ,20.7 ,20.9 ,19.8 ,17.1 ,15.3 ,18.7 
JALISCO,16.8 ,19.5 ,21.1 ,22.4 ,24.8 ,23.8 ,23.3 ,22.8 ,22.6 ,21.6 ,18.6 ,16.6 ,21.2 
ESTADO DE MÉXICO,10.5 ,13.8 ,15.5 ,16.0 ,16.9 ,16.7 ,16.2 ,15.8 ,16.2 ,15.5 ,13.5 ,12.9 ,15.0 
MICHOACÁN,16.5 ,19.2 ,21.8 ,22.9 ,24.1 ,22.7 ,22.2 ,21.9 ,21.9 ,21.3 ,18.6 ,17.0 ,20.8 
MORELOS,18.4 ,22.1 ,24.6 ,25.0 ,24.0 ,23.2 ,23.1 ,21.9 ,21.8 ,21.8 ,20.6 ,19.1 ,22.1 
NAYARIT,21.7 ,24.7 ,24.6 ,25.4 ,28.6 ,29.3 ,29.0 ,28.4 ,28.2 ,27.5 ,24.9 ,22.0 ,26.2 
NUEVO LEÓN,12.3 ,18.6 ,21.5 ,21.9 ,26.1 ,27.8 ,28.1 ,28.6 ,25.9 ,22.1 ,16.3 ,14.8 ,22.0 
OAXACA,20.2 ,23.1 ,24.9 ,24.9 ,26.6 ,24.1 ,24.5 ,24.7 ,24.8 ,24.6 ,23.2 ,21.3 ,23.9 
PUEBLA,13.1 ,17.0 ,19.1 ,19.3 ,20.1 ,20.4 ,19.5 ,19.0 ,19.6 ,18.7 ,16.8 ,15.3 ,18.2 
QUERÉTARO,13.5 ,18.5 ,21.0 ,22.3 ,23.7 ,22.0 ,22.0 ,22.0 ,21.6 ,20.3 ,17.6 ,15.7 ,20.0 
QUINTANA ROO,23.1 ,26.4 ,26.7 ,28.0 ,28.5 ,29.2 ,29.9 ,29.6 ,29.0 ,28.2 ,26.9 ,25.0 ,27.5 
SAN LUIS POTOSÍ,15.5 ,21.9 ,23.7 ,24.1 ,26.8 ,27.4 ,27.4 ,27.0 ,26.5 ,23.9 ,19.9 ,18.1 ,23.5 
SINALOA,20.9 ,22.4 ,23.0 ,25.1 ,28.2 ,29.0 ,30.9 ,29.7 ,29.0 ,27.8 ,23.6 ,20.4 ,25.8 
SONORA,16.7 ,16.4 ,19.2 ,22.7 ,25.4 ,30.0 ,30.8 ,29.4 ,29.0 ,23.3 ,17.8 ,14.6 ,22.9 
TABASCO,22.1 ,25.8 ,27.5 ,28.3 ,29.3 ,29.0 ,29.4 ,28.5 ,28.6 ,27.9 ,26.2 ,24.3 ,27.2 
TAMAULIPAS,15.1 ,22.0 ,23.9 ,24.5 ,28.0 ,29.3 ,30.0 ,30.1 ,28.6 ,24.9 ,19.4 ,17.9 ,24.5 
TLAXCALA,11.1 ,14.4 ,16.4 ,16.4 ,17.6 ,17.0 ,16.6 ,16.6 ,17.1 ,16.5 ,14.4 ,12.7 ,15.6 
VERACRUZ,16.9 ,21.3 ,22.8 ,23.0 ,25.1 ,25.7 ,25.3 ,24.5 ,25.0 ,23.4 ,21.1 ,19.3 ,22.8 
YUCATÁN,21.7 ,25.5 ,26.3 ,27.7 ,28.1 ,28.2 ,28.8 ,28.3 ,28.2 ,27.3 ,25.4 ,23.7 ,26.6 
ZACATECAS,12.5 ,15.8 ,18.1 ,19.3 ,21.9 ,21.0 ,20.5 ,19.9 ,19.3 ,17.8 ,14.3 ,12.0 ,17.7 
NACIONAL,16.0 ,19.3 ,21.2 ,22.9 ,25.4 ,26.4 ,26.5 ,26.1 ,25.0 ,22.5 ,18.7 ,16.5 ,22.2 
