ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
GUANAJUATO,13.2 ,14.1 ,17.6 ,20.0 ,22.5 ,23.1 ,20.6 ,21.0 ,24.9 ,17.9 ,15.8 ,13.7 ,18.7 
GUERRERO,22.5 ,23.3 ,24.7 ,26.3 ,27.7 ,27.0 ,25.4 ,25.2 ,20.5 ,25.6 ,23.9 ,21.8 ,24.5 
HIDALGO,12.7 ,13.7 ,16.7 ,19.4 ,20.8 ,21.5 ,18.8 ,19.3 ,19.1 ,16.3 ,14.7 ,12.7 ,17.2 
JALISCO,15.5 ,16.4 ,19.0 ,21.0 ,24.0 ,24.5 ,22.5 ,22.8 ,22.6 ,20.6 ,18.0 ,17.3 ,20.4 
ESTADO DE MÉXICO,9.4 ,11.2 ,14.2 ,15.9 ,17.8 ,17.6 ,15.7 ,15.5 ,15.0 ,13.4 ,11.8 ,11.0 ,14.0 
MICHOACÁN,14.4 ,14.5 ,17.7 ,19.9 ,22.3 ,22.3 ,20.3 ,20.2 ,20.0 ,18.1 ,16.1 ,14.0 ,18.3 
MORELOS,17.3 ,19.0 ,22.5 ,23.4 ,26.4 ,24.9 ,22.2 ,22.2 ,21.9 ,21.7 ,19.7 ,17.5 ,21.6 
NAYARIT,21.0 ,21.2 ,22.9 ,25.0 ,26.8 ,28.8 ,27.2 ,28.0 ,27.5 ,27.1 ,23.6 ,21.4 ,25.0 
NUEVO LEÓN,12.5 ,13.3 ,17.6 ,22.4 ,26.4 ,28.6 ,26.6 ,28.2 ,25.9 ,22.4 ,18.3 ,14.8 ,21.4 
OAXACA,20.0 ,21.5 ,23.2 ,25.9 ,27.4 ,26.0 ,24.6 ,24.5 ,23.8 ,23.4 ,22.7 ,20.2 ,23.6 
PUEBLA,12.1 ,14.3 ,16.9 ,19.1 ,21.1 ,20.7 ,19.0 ,19.0 ,18.3 ,16.7 ,15.5 ,13.3 ,17.2 
QUERÉTARO,13.2 ,13.9 ,17.5 ,20.3 ,22.7 ,23.0 ,20.6 ,20.8 ,19.9 ,17.8 ,15.4 ,13.5 ,18.2 
QUINTANA ROO,22.5 ,23.5 ,23.4 ,27.5 ,28.6 ,29.6 ,28.5 ,29.2 ,28.7 ,26.9 ,25.4 ,22.2 ,26.3 
SAN LUIS POTOSÍ,14.8 ,15.8 ,19.1 ,23.4 ,26.2 ,27.0 ,24.8 ,25.7 ,28.7 ,22.3 ,19.5 ,16.7 ,22.0 
SINALOA,19.6 ,19.6 ,21.3 ,23.6 ,26.3 ,29.4 ,29.8 ,29.9 ,24.8 ,26.8 ,22.3 ,19.9 ,24.4 
SONORA,13.7 ,14.4 ,16.8 ,20.0 ,23.4 ,28.7 ,30.2 ,30.0 ,28.6 ,23.4 ,17.2 ,15.6 ,21.8 
TABASCO,21.0 ,22.9 ,23.8 ,28.5 ,29.6 ,30.0 ,28.3 ,27.7 ,27.5 ,26.3 ,25.0 ,22.0 ,26.1 
TAMAULIPAS,15.5 ,15.6 ,19.5 ,24.2 ,27.7 ,29.4 ,27.7 ,29.1 ,27.2 ,24.3 ,21.0 ,17.6 ,23.2 
TLAXCALA,10.6 ,11.8 ,14.2 ,16.1 ,17.7 ,17.4 ,15.9 ,15.9 ,15.2 ,13.6 ,11.8 ,10.0 ,14.2 
VERACRUZ,16.6 ,17.9 ,20.1 ,23.7 ,26.1 ,26.3 ,24.9 ,25.0 ,24.5 ,22.7 ,21.3 ,18.4 ,22.3 
YUCATÁN,21.6 ,22.3 ,22.9 ,27.5 ,28.9 ,29.4 ,27.7 ,28.0 ,27.7 ,25.3 ,24.4 ,20.4 ,25.5 
ZACATECAS,10.7 ,11.1 ,14.1 ,17.4 ,21.0 ,21.9 ,19.6 ,20.1 ,19.5 ,16.3 ,13.6 ,11.7 ,16.4 
NACIONAL,14.8 ,15.0 ,18.2 ,21.7 ,24.4 ,26.3 ,25.2 ,25.7 ,24.7 ,21.8 ,18.4 ,16.1 ,21.0 
