ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
MICHOACÁN,17.6 ,18.5 ,20.6 ,21.9 ,24.2 ,24.0 ,22.0 ,22.4 ,21.7 ,21.0 ,19.2 ,17.1 ,20.9 
MORELOS,19.7 ,21.5 ,23.4 ,25.0 ,25.4 ,23.1 ,22.5 ,22.6 ,22.2 ,21.6 ,20.3 ,18.8 ,22.2 
NAYARIT,21.8 ,22.9 ,24.7 ,25.2 ,26.9 ,28.6 ,28.5 ,28.4 ,27.8 ,28.1 ,26.5 ,22.6 ,26.0 
NUEVO LEÓN,16.8 ,20.4 ,22.0 ,23.8 ,26.2 ,28.3 ,28.0 ,28.6 ,26.2 ,21.6 ,19.6 ,14.6 ,23.0 
OAXACA,22.4 ,23.2 ,24.3 ,25.6 ,26.7 ,26.0 ,25.5 ,25.5 ,24.8 ,24.4 ,23.0 ,21.2 ,24.4 
PUEBLA,15.7 ,17.1 ,18.1 ,19.8 ,21.4 ,20.3 ,19.1 ,19.8 ,18.9 ,18.0 ,16.2 ,14.4 ,18.2 
QUERÉTARO,16.3 ,18.2 ,19.5 ,21.6 ,24.4 ,23.5 ,21.4 ,21.7 ,20.5 ,19.1 ,17.4 ,15.1 ,19.9 
QUINTANA ROO,25.4 ,26.6 ,26.4 ,28.2 ,29.7 ,29.5 ,29.8 ,29.9 ,29.6 ,27.4 ,25.4 ,24.6 ,27.7 
SAN LUIS POTOSÍ,19.2 ,21.9 ,22.8 ,25.3 ,27.4 ,27.8 ,25.7 ,27.2 ,25.0 ,22.6 ,21.5 ,17.7 ,23.7 
SINALOA,20.0 ,21.0 ,24.0 ,24.7 ,26.6 ,29.8 ,30.7 ,30.3 ,29.6 ,29.7 ,26.1 ,22.2 ,26.2 
SONORA,14.0 ,17.3 ,20.8 ,22.6 ,24.3 ,30.0 ,29.7 ,29.9 ,27.9 ,26.4 ,22.0 ,16.3 ,23.4 
TABASCO,24.5 ,26.0 ,26.9 ,28.7 ,29.9 ,28.5 ,28.7 ,28.7 ,28.2 ,26.7 ,25.1 ,24.2 ,27.2 
TAMAULIPAS,20.3 ,23.2 ,24.1 ,26.0 ,28.1 ,29.9 ,29.1 ,30.2 ,28.1 ,24.2 ,22.7 ,18.4 ,25.4 
TLAXCALA,12.5 ,13.5 ,14.5 ,16.1 ,18.4 ,17.2 ,16.7 ,17.5 ,17.1 ,15.5 ,13.5 ,12.8 ,15.4 
VERACRUZ,20.7 ,22.0 ,22.4 ,24.6 ,26.1 ,25.8 ,24.5 ,25.5 ,24.4 ,22.8 ,21.3 ,19.0 ,23.3 
YUCATÁN,24.2 ,25.7 ,25.9 ,28.3 ,29.7 ,28.7 ,28.3 ,28.6 ,28.4 ,26.6 ,24.1 ,23.5 ,26.8 
ZACATECAS,13.5 ,14.4 ,16.9 ,18.7 ,21.9 ,22.8 ,20.3 ,20.7 ,18.9 ,17.7 ,15.8 ,13.1 ,17.9 
NACIONAL,17.4 ,19.2 ,21.3 ,23.1 ,25.1 ,26.8 ,26.1 ,26.2 ,24.9 ,23.0 ,20.5 ,17.0 ,22.6 
